13,1029,K3,9.17,8.86,9.30,9.06,9.10
59,1031,K3,9.18,8.93,9.89,10.00,9.50
116,1124,6to,8.44,9.03,8.72,7.96,8.54
27,1037,K3,9.34,8.61,8.86,7.94,8.69
126,1127,6to,7.98,7.88,7.50,7.94,7.82
31,1047,1ro,9.31,9.59,9.52,9.31,9.43
118,1048,1ro,9.30,9.20,9.36,9.78,9.41
44,1129,6to,8.10,8.51,6.91,6.90,7.60
98,1050,1ro,9.30,9.41,9.35,9.21,9.32
16,1005,K1,9.92,9.81,9.68,8.09,9.37
35,1076,3ro,9.40,18.07,9.34,9.91,11.68
56,1081,3ro,9.05,9.25,9.24,9.89,9.36
79,1006,K1,9.49,9.59,9.19,8.20,9.12
104,1009,K2,8.99,9.17,8.44,9.29,8.97
122,1012,K2,9.53,9.41,9.86,9.96,9.69
20,1016,K2,9.09,9.11,9.07,8.59,8.96
133,1026,K3,9.86,8.43,9.77,9.00,9.27
89,1080,3ro,8.00,7.81,6.40,6.44,7.16
62,1071,2do,8.46,9.05,8.92,9.88,9.07
85,1062,2do,8.66,8.47,8.84,8.34,8.58
81,1067,2do,8.11,8.61,8.58,8.63,8.48
50,1070,2do,9.05,9.16,9.14,7.72,8.76
95,1094,4to,8.13,8.66,8.35,8.01,8.29
110,1106,5to,8.16,8.51,8.16,8.45,8.32
69,1097,4to,8.14,8.65,8.51,8.48,8.45
10,1077,3ro,23.44,8.27,7.97,8.86,12.14
40,1107,5to,8.80,9.06,9.38,9.40,9.16
23,1113,5to,8.02,8.58,8.88,9.10,8.64
74,1120,6to,8.71,8.12,8.59,9.00,8.61
54,1121,6to,9.85,9.75,9.90,10.00,9.87
111,1122,6to,8.91,8.25,9.06,9.70,8.98
71,1123,6to,9.29,9.49,9.39,9.90,9.52
